decision_date,meeting_date,effective_date,publication_datetime_msk,rate_before,rate_after,change_bps,direction,title,description,is_scheduled,is_official,source_url,source_type,source_title,source_note,notes
2022-03-18,2022-03-18,,2022-03-18T13:30:00,20.00,20.00,0,rate_hold,Bank of Russia keeps the key rate at 20% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=18032022_133000key_eng.htm,official_curated,Bank of Russia keeps the key rate at 20% p.a.,Curated from official Bank of Russia press release.,Market disruption period; analyzer confidence should be limited.
2022-04-08,2022-04-08,,2022-04-08T11:40:00,20.00,17.00,-300,rate_cut,Bank of Russia cuts the key rate by 300 bp to 17.00% p.a.,,false,true,https://www.cbr.ru/eng/press/pr/?file=08042022_114000key_eng.htm,official_curated,Bank of Russia cuts the key rate by 300 bp to 17.00% p.a.,Curated from official Bank of Russia press release.,Extraordinary crisis normalization decision; analyzer confidence should be limited.
2022-04-29,2022-04-29,,2022-04-29T13:30:00,17.00,14.00,-300,rate_cut,Bank of Russia cuts the key rate by 300 b.p. to 14.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=29042022_133000Key_eng.htm,official_curated,Bank of Russia cuts the key rate by 300 b.p. to 14.00% p.a.,Curated from official Bank of Russia press release.,Market disruption period; analyzer confidence should be limited.
2022-05-26,2022-05-26,,2022-05-26T10:30:00,14.00,11.00,-300,rate_cut,Bank of Russia cuts key rate by 300 bp to 11.00% p.a.,,false,true,https://www.cbr.ru/eng/press/pr/?file=26052022_103000key_eng.htm,official_curated,Bank of Russia cuts key rate by 300 bp to 11.00% p.a.,Curated from official Bank of Russia press release.,Extraordinary decision; analyzer confidence should be limited.
2022-06-10,2022-06-10,,2022-06-10T13:30:00,11.00,9.50,-150,rate_cut,Bank of Russia cuts key rate by 150 bp to 9.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=10062022_133000Key_eng.htm,official_curated,Bank of Russia cuts key rate by 150 bp to 9.50% p.a.,Curated from official Bank of Russia press release.,Market disruption period; analyzer confidence should be limited.
2022-07-22,2022-07-22,,2022-07-22T13:30:00,9.50,8.00,-150,rate_cut,Bank of Russia cuts key rate by 150 bp to 8.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=22072022_133000Key_eng.htm,official_curated,Bank of Russia cuts key rate by 150 bp to 8.00% p.a.,Curated from official Bank of Russia press release.,Market disruption period; analyzer confidence should be limited.
2022-09-16,2022-09-16,,2022-09-16T13:30:00,8.00,7.50,-50,rate_cut,Bank of Russia cuts key rate by 50 bp to 7.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=16092022_133000Key_eng.htm,official_curated,Bank of Russia cuts key rate by 50 bp to 7.50% p.a.,Curated from official Bank of Russia press release.,Market disruption period; analyzer confidence should be limited.
2022-10-28,2022-10-28,,2022-10-28T13:30:00,7.50,7.50,0,rate_hold,Bank of Russia keeps the key rate at 7.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=28102022_133000Key_eng.htm,official_curated,Bank of Russia keeps the key rate at 7.50% p.a.,Curated from official Bank of Russia press release.,
2022-12-16,2022-12-16,,2022-12-16T13:30:00,7.50,7.50,0,rate_hold,Bank of Russia keeps the key rate at 7.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=16122022_133000Key_eng.htm,official_curated,Bank of Russia keeps the key rate at 7.50% p.a.,Curated from official Bank of Russia press release.,
2023-02-10,2023-02-10,,2023-02-10T13:30:00,7.50,7.50,0,rate_hold,Bank of Russia keeps key rate at 7.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?id=38293,official_curated,Bank of Russia keeps key rate at 7.50% p.a.,Curated from official Bank of Russia press release.,Historical hold event; included to expand hold sample.
2023-03-17,2023-03-17,,2023-03-17T13:30:00,7.50,7.50,0,rate_hold,Bank of Russia keeps key rate at 7.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=17032023_133000Key_Eng.htm,official_curated,Bank of Russia keeps key rate at 7.50% p.a.,Curated from official Bank of Russia press release.,Historical hold event; included to expand hold sample.
2023-04-28,2023-04-28,,2023-04-28T13:30:00,7.50,7.50,0,rate_hold,Bank of Russia keeps key rate at 7.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=28042023_133000Key_eng.htm,official_curated,Bank of Russia keeps key rate at 7.50% p.a.,Curated from official Bank of Russia press release.,Historical hold event; included to expand hold sample.
2023-06-09,2023-06-09,,2023-06-09T13:30:00,7.50,7.50,0,rate_hold,Bank of Russia keeps the key rate at 7.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=09062023_133024Key_eng.htm,official_curated,Bank of Russia keeps the key rate at 7.50% p.a.,Curated from official Bank of Russia press release.,Historical hold event; included to expand hold sample.
2023-07-21,2023-07-21,,,7.50,8.50,100,rate_hike,Bank of Russia increases key rate by 100 b.p. to 8.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?id=39469,official_curated,Bank of Russia increases key rate by 100 b.p. to 8.50% p.a.,Curated from official Bank of Russia press release.,
2023-08-15,2023-08-15,,2023-08-15T10:30:00,8.50,12.00,350,rate_hike,Bank of Russia increases key rate by 350 b.p. to 12.00% p.a.,,false,true,https://www.cbr.ru/eng/press/pr/?file=15082023_103000Key_eng.htm,official_curated,Bank of Russia increases key rate by 350 b.p. to 12.00% p.a.,Curated from official Bank of Russia press release.,Unscheduled decision; publication time from press release.
2023-09-15,2023-09-15,,2023-09-15T13:30:00,12.00,13.00,100,rate_hike,Bank of Russia increases key rate by 100 bp to 13.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=15092023_133000Key_e.htm,official_curated,Bank of Russia increases key rate by 100 bp to 13.00% p.a.,Curated from official Bank of Russia press release.,
2023-10-27,2023-10-27,,2023-10-27T13:30:00,13.00,15.00,200,rate_hike,Bank of Russia increases key rate by 200 bp to 15.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=27102023_133000key_eng.htm,official_curated,Bank of Russia increases key rate by 200 bp to 15.00% p.a.,Curated from official Bank of Russia press release.,
2023-12-15,2023-12-15,,2023-12-15T13:30:00,15.00,16.00,100,rate_hike,Bank of Russia increases key rate by 100 bp to 16.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=15122023_133000key_e.htm,official_curated,Bank of Russia increases key rate by 100 bp to 16.00% p.a.,Curated from official Bank of Russia press release.,
2024-07-26,2024-07-26,,2024-07-26T13:30:00,16.00,18.00,200,rate_hike,Bank of Russia increases the key rate by 200 bp to 18.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=26072024_133000Key_e.htm,official_curated,Bank of Russia increases the key rate by 200 bp to 18.00% p.a.,Curated from official Bank of Russia press release.,
2024-09-13,2024-09-13,,2024-09-13T13:30:00,18.00,19.00,100,rate_hike,Bank of Russia increases the key rate by 100 bp to 19.00% p.a.,,true,true,https://www.cbr.ru/eng/press/PR/?file=13092024_133000Key_eng.htm,official_curated,Bank of Russia increases the key rate by 100 bp to 19.00% p.a.,Curated from official Bank of Russia press release.,
2024-10-25,2024-10-25,,2024-10-25T13:30:00,19.00,21.00,200,rate_hike,Bank of Russia increases the key rate by 200 bp to 21.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=25102024_133000Key_eng.htm,official_curated,Bank of Russia increases the key rate by 200 bp to 21.00% p.a.,Curated from official Bank of Russia press release.,
2025-02-14,2025-02-14,,2025-02-14T13:30:00,21.00,21.00,0,rate_hold,Bank of Russia keeps the key rate at 21.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=14022025_133000key_e.htm,official_curated,Bank of Russia keeps the key rate at 21.00% p.a.,Curated from official Bank of Russia press release.,
2025-03-21,2025-03-21,,2025-03-21T13:30:00,21.00,21.00,0,rate_hold,Bank of Russia keeps the key rate at 21.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=21032025_133000key_e.htm,official_curated,Bank of Russia keeps the key rate at 21.00% p.a.,Curated from official Bank of Russia press release.,
2025-04-25,2025-04-25,,2025-04-25T13:30:00,21.00,21.00,0,rate_hold,Bank of Russia keeps the key rate at 21.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=25042025_133000key_e.htm,official_curated,Bank of Russia keeps the key rate at 21.00% p.a.,Curated from official Bank of Russia press release.,
2025-06-06,2025-06-06,,2025-06-06T13:30:00,21.00,20.00,-100,rate_cut,Bank of Russia cuts the key rate by 100 bp to 20.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=06062025_133000key_e.htm,official_curated,Bank of Russia cuts the key rate by 100 bp to 20.00% p.a.,Curated from official Bank of Russia press release.,
2025-07-25,2025-07-25,,2025-07-25T13:30:00,20.00,18.00,-200,rate_cut,Bank of Russia cuts the key rate by 200 bp to 18.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=25072025_133000key_e.htm,official_curated,Bank of Russia cuts the key rate by 200 bp to 18.00% p.a.,Curated from official Bank of Russia press release.,
2025-09-12,2025-09-12,,2025-09-12T13:30:00,18.00,17.00,-100,rate_cut,Bank of Russia cuts key rate by 100 bp to 17.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=12092025_133000key_e.htm,official_curated,Bank of Russia cuts key rate by 100 bp to 17.00% p.a.,Curated from official Bank of Russia press release.,
2025-10-24,2025-10-24,,2025-10-24T13:30:00,17.00,16.50,-50,rate_cut,Bank of Russia cuts the key rate by 50 bp to 16.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=24102025_133000key_e.htm,official_curated,Bank of Russia cuts the key rate by 50 bp to 16.50% p.a.,Curated from official Bank of Russia press release.,
2025-12-19,2025-12-19,,2025-12-19T13:30:00,16.50,16.00,-50,rate_cut,Bank of Russia cuts the key rate by 50 bp to 16.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=19122025_133000key_e.htm,official_curated,Bank of Russia cuts the key rate by 50 bp to 16.00% p.a.,Curated from official Bank of Russia press release.,
2026-02-13,2026-02-13,,2026-02-13T13:30:00,16.00,15.50,-50,rate_cut,Bank of Russia cuts the key rate by 50 bp to 15.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=13022026_133000key_e.htm,official_curated,Bank of Russia cuts the key rate by 50 bp to 15.50% p.a.,Curated from official Bank of Russia press release.,
2026-03-20,2026-03-20,,2026-03-20T13:30:00,15.50,15.00,-50,rate_cut,Bank of Russia cuts the key rate by 50 bp to 15.00% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=20032026_133000key_e.htm,official_curated,Bank of Russia cuts the key rate by 50 bp to 15.00% p.a.,Curated from official Bank of Russia press release.,
2026-04-24,2026-04-24,,2026-04-24T13:30:00,15.00,14.50,-50,rate_cut,Bank of Russia cuts the key rate by 50 bp to 14.50% p.a.,,true,true,https://www.cbr.ru/eng/press/pr/?file=24042026_133000key_e.htm,official_curated,Bank of Russia cuts the key rate by 50 bp to 14.50% p.a.,Curated from official Bank of Russia press release.,
